"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизоваться, выйти из профиля, проверить переход на страницу логина","2547","Проверка выхода из профиля","tests","2026-05-25","passed","2026-05-25","TestProfilePage","test_profile_page","",""
"Открыть страницу ленты заказов, перейти на главную страницу","1026","Проверка перехода на главную страницу с ленты заказов","tests","2026-05-25","passed","2026-05-25","TestMainPage","test_main_page","",""
"","1111","Проверка ввода почты и перехода на страницу сброса пароля","tests","2026-05-25","passed","2026-05-25","TestResetPasswordPage","test_reset_password_page","",""
"","5342","Увеличение счетчика заказов за сегодня","tests","2026-05-25","passed","2026-05-25","TestOrderFeedPage","test_order_feed_page","",""
"","9333","Наличие заказа из истории пользователя в ленте заказов","tests","2026-05-25","passed","2026-05-25","TestOrderFeedPage","test_order_feed_page","",""
"Закрыть окно с деталями, проверить что оно исчезло","16628","Проверка закрытия окна с деталями ингредиента","tests","2026-05-25","passed","2026-05-25","TestMainPage","test_main_page","",""
"Добавить ингредиент к бургеру, проверить увеличение счетчика","1131","Проверка добавления ингредиента типа ingredient в бургер","tests","2026-05-25","passed","2026-05-25","TestMainPage","test_main_page","",""
"Закрыть окно с деталями, проверить что оно исчезло","17145","Проверка закрытия окна с деталями ингредиента","tests","2026-05-25","passed","2026-05-25","TestMainPage","test_main_page","",""
"","8805","Созданный заказ отображается в истории заказов","tests","2026-05-25","passed","2026-05-25","TestOrderFeedPage","test_order_feed_page","",""
"","978","Проверка перехода на страницу восстановления пароля","tests","2026-05-25","passed","2026-05-25","TestForgotPasswordPage","test_forgot_password_page","",""
"Создать заказ с разным количеством ингредиентов","2931","Проверка создания заказа с 3 ингредиентами","tests","2026-05-25","passed","2026-05-25","TestMainPage","test_main_page","",""
"Создать пользователя, авторизоваться, проверить результат","1654","Проверка авторизации пользователя","tests","2026-05-25","passed","2026-05-25","TestLoginPage","test_login_page","",""
